grape_id,view,ref_id,source_subdir,ref,ref_base,pair_key,path,variety,color,peso,form,size,num,min,max,Cal 7,Cal 7.5,Cal 8,Cal 8.5,Cal 9,Cal 9.5,Cal 10,Cal 10.5,Cal 11,Cal 11.5,Cal 12,Cal 12.5,Cal 13,Cal 13.5,Cal 14,Cal 14.5,Cal 15,Cal 15.5,Cal 16,Cal 16.5,Cal 17,Cal 17.5,Cal 18,Cal 18.5,Cal 19,Cal 19.5,Cal 20,Cal 20.5,Cal 21,Cal 21.5,Cal 22,Cal 22.5,Cal 23,Cal 23.5,Cal 24,Cal 24.5,Cal 25,Cal 25.5,Cal 26,Cal 26.5,Cal 27,Cal 27.5,Cal 28,Cal 28.5,Cal 29,Cal 29.5,Cal 30,Cal 30.5,Cal 31,Cal 31.5,Cal 32
7,B,7B,ALLISON,7B,7,ALLISON::7,all_out_v2/ALLISON_IMAGEN_14.jpg,ALLISON,ROJO,521.0,OVALADA,139.0,139.0,10.0,20.0,,0,,0,,0,2.0,0,,0,1.0,0,1.0,0,7.0,0,21.0,0,42.0,0,37.0,0,14.0,0,12.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
8,A,8A,ALLISON,8A,8,ALLISON::8,all_out_v2/ALLISON_IMAGEN_15.jpg,ALLISON,ROJO,521.0,OVALADA,101.0,101.0,9.0,21.0,,0,,0,1.0,0,,0,,0,,0,,0,2.0,0,3.0,0,18.0,0,35.0,0,23.0,0,9.0,0,7.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
8,B,8B,ALLISON,8B,8,ALLISON::8,all_out_v2/ALLISON_IMAGEN_16.jpg,ALLISON,ROJO,521.0,OVALADA,101.0,101.0,9.0,21.0,,0,,0,1.0,0,,0,,0,,0,,0,2.0,0,3.0,0,18.0,0,35.0,0,23.0,0,9.0,0,7.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
9,A,9A,ALLISON,9A,9,ALLISON::9,all_out_v2/ALLISON_IMAGEN_17.jpg,ALLISON,ROJO,401.0,OVALADA,96.0,96.0,11.0,20.0,,0,,0,,0,,0,1.0,0,1.0,0,1.0,0,,0,6.0,0,11.0,0,25.0,0,35.0,0,12.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
9,B,9B,ALLISON,9B,9,ALLISON::9,all_out_v2/ALLISON_IMAGEN_18.jpg,ALLISON,ROJO,401.0,OVALADA,96.0,96.0,11.0,20.0,,0,,0,,0,,0,1.0,0,1.0,0,1.0,0,,0,6.0,0,11.0,0,25.0,0,35.0,0,12.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10,A,10A,ALLISON,10A,10,ALLISON::10,all_out_v2/ALLISON_IMAGEN_19.jpg,ALLISON,ROJO,715.0,OVALADA,152.0,152.0,14.0,20.0,,0,,0,,0,,0,,0,,0,,0,1.0,0,4.0,0,27.0,0,58.0,0,28.0,0,21.0,0,13.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10,B,10B,ALLISON,10B,10,ALLISON::10,all_out_v2/ALLISON_IMAGEN_20.jpg,ALLISON,ROJO,715.0,OVALADA,152.0,152.0,14.0,20.0,,0,,0,,0,,0,,0,,0,,0,1.0,0,4.0,0,27.0,0,58.0,0,28.0,0,21.0,0,13.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11,A,11A,ALLISON,11A,11,ALLISON::11,all_out_v2/ALLISON_IMAGEN_21.jpg,ALLISON,ROJO,393.0,OVALADA,91.0,91.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,5.0,0,15.0,0,34.0,0,25.0,0,12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11,B,11B,ALLISON,11B,11,ALLISON::11,all_out_v2/ALLISON_IMAGEN_22.jpg,ALLISON,ROJO,393.0,OVALADA,91.0,91.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,5.0,0,15.0,0,34.0,0,25.0,0,12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12,A,12A,ALLISON,12A,12,ALLISON::12,all_out_v2/ALLISON_IMAGEN_23.jpg,ALLISON,ROJO,479.0,OVALADA,101.0,101.0,14.0,21.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,,0,4.0,0,20.0,0,26.0,0,32.0,0,13.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12,B,12B,ALLISON,12B,12,ALLISON::12,all_out_v2/ALLISON_IMAGEN_24.jpg,ALLISON,ROJO,479.0,OVALADA,101.0,101.0,14.0,21.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,,0,4.0,0,20.0,0,26.0,0,32.0,0,13.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
13,A,13A,ALLISON,13A,13,ALLISON::13,all_out_v2/ALLISON_IMAGEN_25.jpg,ALLISON,ROJO,555.0,OVALADA,111.0,111.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,6.0,0,25.0,0,43.0,0,27.0,0,8.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
13,B,13B,ALLISON,13B,13,ALLISON::13,all_out_v2/ALLISON_IMAGEN_26.jpg,ALLISON,ROJO,555.0,OVALADA,111.0,111.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,6.0,0,25.0,0,43.0,0,27.0,0,8.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
14,A,14A,ALLISON,14A,14,ALLISON::14,all_out_v2/ALLISON_IMAGEN_27.jpg,ALLISON,ROJO,595.0,OVALADA,95.0,95.0,17.0,23.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.0,0,15.0,0,25.0,0,23.0,0,18.0,0,8.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,
14,B,14B,ALLISON,14B,14,ALLISON::14,all_out_v2/ALLISON_IMAGEN_28.jpg,ALLISON,ROJO,595.0,OVALADA,95.0,95.0,17.0,23.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2.0,0,15.0,0,25.0,0,23.0,0,18.0,0,8.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,
15,A,15A,ALLISON,15A,15,ALLISON::15,all_out_v2/ALLISON_IMAGEN_29.jpg,ALLISON,ROJO,620.0,OVALADA,144.0,144.0,13.0,20.0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,20.0,0,35.0,0,48.0,0,24.0,0,10.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
15,B,15B,ALLISON,15B,15,ALLISON::15,all_out_v2/ALLISON_IMAGEN_30.jpg,ALLISON,ROJO,620.0,OVALADA,144.0,144.0,13.0,20.0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,20.0,0,35.0,0,48.0,0,24.0,0,10.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
16,A,16A,ALLISON,16A,16,ALLISON::16,all_out_v2/ALLISON_IMAGEN_31.jpg,ALLISON,ROJO,296.0,OVALADA,66.0,66.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,4.0,0,11.0,0,33.0,0,11.0,0,5.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
16,B,16B,ALLISON,16B,16,ALLISON::16,all_out_v2/ALLISON_IMAGEN_32.jpg,ALLISON,ROJO,296.0,OVALADA,66.0,66.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,4.0,0,11.0,0,33.0,0,11.0,0,5.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
17,A,17A,ALLISON,17A,17,ALLISON::17,all_out_v2/ALLISON_IMAGEN_33.jpg,ALLISON,ROJO,554.0,OVALADA,120.0,120.0,10.0,20.0,,0,,0,,0,1.0,0,,0,,0,1.0,0,1.0,0,13.0,0,39.0,0,37.0,0,22.0,0,5.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
17,B,17B,ALLISON,17B,17,ALLISON::17,all_out_v2/ALLISON_IMAGEN_34.jpg,ALLISON,ROJO,554.0,OVALADA,120.0,120.0,10.0,20.0,,0,,0,,0,1.0,0,,0,,0,1.0,0,1.0,0,13.0,0,39.0,0,37.0,0,22.0,0,5.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
18,A,18A,ALLISON,18A,18,ALLISON::18,all_out_v2/ALLISON_IMAGEN_35.jpg,ALLISON,ROJO,472.0,OVALADA,86.0,86.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,7.0,0,9.0,0,21.0,0,17.0,0,22.0,0,7.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
18,B,18B,ALLISON,18B,18,ALLISON::18,all_out_v2/ALLISON_IMAGEN_36.jpg,ALLISON,ROJO,472.0,OVALADA,86.0,86.0,15.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,7.0,0,9.0,0,21.0,0,17.0,0,22.0,0,7.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
19,A,19A,ALLISON,19A,19,ALLISON::19,all_out_v2/ALLISON_IMAGEN_37.jpg,ALLISON,ROJO,345.0,OVALADA,93.0,93.0,13.0,19.0,,0,,0,,0,,0,,0,,0,2.0,0,4.0,0,16.0,0,20.0,0,28.0,0,19.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
19,B,19B,ALLISON,19B,19,ALLISON::19,all_out_v2/ALLISON_IMAGEN_38.jpg,ALLISON,ROJO,345.0,OVALADA,93.0,93.0,13.0,19.0,,0,,0,,0,,0,,0,,0,2.0,0,4.0,0,16.0,0,20.0,0,28.0,0,19.0,0,4.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20,A,20A,ALLISON,20A,20,ALLISON::20,all_out_v2/ALLISON_IMAGEN_39.jpg,ALLISON,ROJO,544.0,OVALADA,110.0,110.0,11.0,20.0,,0,,0,,0,,0,1.0,0,,0,1.0,0,2.0,0,7.0,0,19.0,0,33.0,0,28.0,0,14.0,0,5.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20,B,20B,ALLISON,20B,20,ALLISON::20,all_out_v2/ALLISON_IMAGEN_40.jpg,ALLISON,ROJO,544.0,OVALADA,110.0,110.0,11.0,20.0,,0,,0,,0,,0,1.0,0,,0,1.0,0,2.0,0,7.0,0,19.0,0,33.0,0,28.0,0,14.0,0,5.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21,A,21A,ALLISON,21A,21,ALLISON::21,all_out_v2/ALLISON_IMAGEN_41.jpg,ALLISON,ROJO,1146.0,OVALADA,246.0,246.0,13.0,22.0,,0,,0,,0,,0,,0,,0,1.0,0,7.0,0,12.0,0,41.0,0,56.0,0,51.0,0,45.0,0,22.0,0,9.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21,B,21B,ALLISON,21B,21,ALLISON::21,all_out_v2/ALLISON_IMAGEN_42.jpg,ALLISON,ROJO,1146.0,OVALADA,246.0,246.0,13.0,22.0,,0,,0,,0,,0,,0,,0,1.0,0,7.0,0,12.0,0,41.0,0,56.0,0,51.0,0,45.0,0,22.0,0,9.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
22,A,22A,ALLISON,22A,22,ALLISON::22,all_out_v2/ALLISON_IMAGEN_43.jpg,ALLISON,ROJO,481.0,OVALADA,139.0,139.0,11.0,19.0,,0,,0,,0,,0,1.0,0,4.0,0,10.0,0,21.0,0,35.0,0,40.0,0,23.0,0,4.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
22,B,22B,ALLISON,22B,22,ALLISON::22,all_out_v2/ALLISON_IMAGEN_44.jpg,ALLISON,ROJO,481.0,OVALADA,139.0,139.0,11.0,19.0,,0,,0,,0,,0,1.0,0,4.0,0,10.0,0,21.0,0,35.0,0,40.0,0,23.0,0,4.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
23,A,23A,ALLISON,23A,23,ALLISON::23,all_out_v2/ALLISON_IMAGEN_45.jpg,ALLISON,ROJO,467.0,OVALADA,89.0,89.0,9.0,20.0,,0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,11.0,0,37.0,0,23.0,0,11.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
23,B,23B,ALLISON,23B,23,ALLISON::23,all_out_v2/ALLISON_IMAGEN_46.jpg,ALLISON,ROJO,467.0,OVALADA,89.0,89.0,9.0,20.0,,0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,11.0,0,37.0,0,23.0,0,11.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
24,A,24A,ALLISON,24A,24,ALLISON::24,all_out_v2/ALLISON_IMAGEN_47.jpg,ALLISON,ROJO,441.0,OVALADA,74.0,74.0,15.0,21.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,12.0,0,15.0,0,17.0,0,16.0,0,9.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
24,B,24B,ALLISON,24B,24,ALLISON::24,all_out_v2/ALLISON_IMAGEN_48.jpg,ALLISON,ROJO,441.0,OVALADA,74.0,74.0,15.0,21.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,12.0,0,15.0,0,17.0,0,16.0,0,9.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
25,A,25A,ALLISON,25A,25,ALLISON::25,all_out_v2/ALLISON_IMAGEN_49.jpg,ALLISON,ROJO,498.0,OVALADA,94.0,94.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,14.0,0,42.0,0,24.0,0,10.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
25,B,25B,ALLISON,25B,25,ALLISON::25,all_out_v2/ALLISON_IMAGEN_50.jpg,ALLISON,ROJO,498.0,OVALADA,94.0,94.0,15.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,3.0,0,14.0,0,42.0,0,24.0,0,10.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
26,A,26A,ALLISON,26A,26,ALLISON::26,all_out_v2/ALLISON_IMAGEN_51.jpg,ALLISON,ROJO,462.0,OVALADA,82.0,82.0,14.0,21.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,2.0,0,8.0,0,30.0,0,21.0,0,16.0,0,2.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
26,B,26B,ALLISON,26B,26,ALLISON::26,all_out_v2/ALLISON_IMAGEN_52.jpg,ALLISON,ROJO,462.0,OVALADA,82.0,82.0,14.0,21.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,2.0,0,8.0,0,30.0,0,21.0,0,16.0,0,2.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
27,A,27A,ALLISON,27A,27,ALLISON::27,all_out_v2/ALLISON_IMAGEN_53.jpg,ALLISON,ROJO,302.0,OVALADA,56.0,56.0,16.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,6.0,0,19.0,0,20.0,0,10.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
27,B,27B,ALLISON,27B,27,ALLISON::27,all_out_v2/ALLISON_IMAGEN_54.jpg,ALLISON,ROJO,302.0,OVALADA,56.0,56.0,16.0,20.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1.0,0,6.0,0,19.0,0,20.0,0,10.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
28,A,28A,ALLISON,28A,28,ALLISON::28,all_out_v2/ALLISON_IMAGEN_55.jpg,ALLISON,ROJO,172.0,OVALADA,48.0,48.0,13.0,18.0,,0,,0,,0,,0,,0,,0,3.0,0,12.0,0,15.0,0,11.0,0,5.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
28,B,28B,ALLISON,28B,28,ALLISON::28,all_out_v2/ALLISON_IMAGEN_56.jpg,ALLISON,ROJO,172.0,OVALADA,48.0,48.0,13.0,18.0,,0,,0,,0,,0,,0,,0,3.0,0,12.0,0,15.0,0,11.0,0,5.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
29,A,29A,ALLISON,29A,29,ALLISON::29,all_out_v2/ALLISON_IMAGEN_57.jpg,ALLISON,ROJO,445.0,OVALADA,98.0,98.0,14.0,20.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,5.0,0,16.0,0,34.0,0,23.0,0,15.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
29,B,29B,ALLISON,29B,29,ALLISON::29,all_out_v2/ALLISON_IMAGEN_58.jpg,ALLISON,ROJO,445.0,OVALADA,98.0,98.0,14.0,20.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,5.0,0,16.0,0,34.0,0,23.0,0,15.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
30,A,30A,ALLISON,30A,30,ALLISON::30,all_out_v2/ALLISON_IMAGEN_59.jpg,ALLISON,ROJO,570.0,OVALADA,109.0,109.0,13.0,21.0,,0,,0,,0,,0,,0,,0,1.0,0,4.0,0,9.0,0,22.0,0,33.0,0,21.0,0,11.0,0,6.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
30,B,30B,ALLISON,30B,30,ALLISON::30,all_out_v2/ALLISON_IMAGEN_60.jpg,ALLISON,ROJO,570.0,OVALADA,109.0,109.0,13.0,21.0,,0,,0,,0,,0,,0,,0,1.0,0,4.0,0,9.0,0,22.0,0,33.0,0,21.0,0,11.0,0,6.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
31,A,31A,ALLISON,31A,31,ALLISON::31,all_out_v2/ALLISON_IMAGEN_61.jpg,ALLISON,ROJO,240.0,OVALADA,70.0,70.0,11.0,18.0,,0,,0,,0,,0,1.0,0,,0,,0,11.0,0,19.0,0,24.0,0,13.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
31,B,31B,ALLISON,31B,31,ALLISON::31,all_out_v2/ALLISON_IMAGEN_62.jpg,ALLISON,ROJO,240.0,OVALADA,70.0,70.0,11.0,18.0,,0,,0,,0,,0,1.0,0,,0,,0,11.0,0,19.0,0,24.0,0,13.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
32,A,32A,ALLISON,32A,32,ALLISON::32,all_out_v2/ALLISON_IMAGEN_63.jpg,ALLISON,ROJO,231.0,OVALADA,63.0,63.0,14.0,19.0,,0,,0,,0,,0,,0,,0,,0,4.0,0,10.0,0,22.0,0,18.0,0,7.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
32,B,32B,ALLISON,32B,32,ALLISON::32,all_out_v2/ALLISON_IMAGEN_64.jpg,ALLISON,ROJO,231.0,OVALADA,63.0,63.0,14.0,19.0,,0,,0,,0,,0,,0,,0,,0,4.0,0,10.0,0,22.0,0,18.0,0,7.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
33,A,33A,ALLISON,33A,33,ALLISON::33,all_out_v2/ALLISON_IMAGEN_65.jpg,ALLISON,ROJO,435.0,OVALADA,101.0,101.0,13.0,21.0,,0,,0,,0,,0,,0,,0,1.0,0,,0,6.0,0,20.0,0,30.0,0,21.0,0,10.0,0,11.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
33,B,33B,ALLISON,33B,33,ALLISON::33,all_out_v2/ALLISON_IMAGEN_66.jpg,ALLISON,ROJO,435.0,OVALADA,101.0,101.0,13.0,21.0,,0,,0,,0,,0,,0,,0,1.0,0,,0,6.0,0,20.0,0,30.0,0,21.0,0,10.0,0,11.0,0,2.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
34,A,34A,ALLISON,34A,34,ALLISON::34,all_out_v2/ALLISON_IMAGEN_67.jpg,ALLISON,ROJO,519.0,OVALADA,98.0,98.0,16.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,3.0,0,16.0,0,29.0,0,31.0,0,9.0,0,7.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
34,B,34B,ALLISON,34B,34,ALLISON::34,all_out_v2/ALLISON_IMAGEN_68.jpg,ALLISON,ROJO,519.0,OVALADA,98.0,98.0,16.0,22.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,3.0,0,16.0,0,29.0,0,31.0,0,9.0,0,7.0,0,3.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
35,A,35A,ALLISON,35A,35,ALLISON::35,all_out_v2/ALLISON_IMAGEN_69.jpg,ALLISON,ROJO,317.0,OVALADA,63.0,63.0,14.0,20.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,6.0,0,23.0,0,18.0,0,10.0,0,3.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
35,B,35B,ALLISON,35B,35,ALLISON::35,all_out_v2/ALLISON_IMAGEN_70.jpg,ALLISON,ROJO,317.0,OVALADA,63.0,63.0,14.0,20.0,,0,,0,,0,,0,,0,,0,,0,2.0,0,6.0,0,23.0,0,18.0,0,10.0,0,3.0,0,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
